algorithm_id,lang,title,principle,function_desc,example,usage_py,extension
img_original,zh,原图,"## 算法名称
原图（内部标识 `img_original`）

## 原理（教材级叙述）
未处理的 BGR 图像，作为后续算子的输入。

## 离散实现与数学扩展
【离散实现通论】
OpenCV 对大多数算子给出像素级离散实现；注意 dtype（uint8/float）、通道顺序（BGR）与 border 模式对结果边界的影响。

【调试建议】
对比输入/输出直方图与局部放大；对涉及梯度的算子优先用更高位深中间结果再压缩显示。

## 与算法 id 关联的要点
本算子对应 OpenCV 离散实现；一般形式可写为像素级映射 I'=F(I;θ)，θ 为参数向量。结合背面示例代码与官方文档理解数值稳定性与边界处理。","## 算法功能
作为对照，观察各算法相对原图的变化。

## 工程串联
可在流水线中与阈值、形态学、ROI、色彩空间转换等模块组合；注意分辨率、帧率与内存占用之间的折中。","## 举例（场景化）
输入照片，输出仍为像素矩阵。","## 用法（OpenCV + Python）
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
img = cv2.imread('a.jpg')
cv2.imshow('src', img)
cv2.waitKey(0)",
img_original,en,Original,"## Algorithm name
Original (`img_original`)

## Principle
Untreated BGR image; input for downstream operators.

[Math & algorithm notes]
This operator is the OpenCV discrete realization; think of pixel-wise maps I'=F(I;θ) and read the API docs for stability.

## Math & implementation notes
Discrete OpenCV operators act per-pixel or in local neighborhoods; mind BGR order, dtype (uint8 vs float), and border handling. For gradients, prefer intermediate CV_16S/CV_32F then convertScaleAbs for display.","## Function & pipeline notes
Baseline to compare every algorithm against the source.
(Interpret operator behavior via its mathematical structure.)

Combine with thresholding, morphology, or ROI masks as needed.","## Example scenarios
Load a photo; output is still a pixel matrix.","## Usage (OpenCV + Python)
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
img = cv2.imread('a.jpg')
cv2.imshow('src', img)
cv2.waitKey(0)",
img_rotate,zh,旋转,"## 算法名称
旋转（内部标识 `img_rotate`）

## 原理（教材级叙述）
仿射变换：绕图像中心旋转 θ 角，可用 2×3 矩阵 M 与 warpAffine 实现。

## 离散实现与数学扩展
【几何变换】
旋转/缩放属于仿射或相似变换子集；warpAffine 用双线性/双三次插值近似重采样，频域上相当于与 sinc 核近似卷积，故缩小再放大会损失高频。

【仿射自由度】
平面仿射 6 自由度，三对非共线对应点唯一确定矩阵；透视需单应性 8 自由度（本演示以仿射为主）。

## 与算法 id 关联的要点
仿射变换 x'=R x + t；旋转矩阵 R(θ)=[[cosθ,-sinθ],[sinθ,cosθ]]。双线性/双三次重采样对应不同插值核。","## 算法功能
修正方向或生成数据增强样本。

## 工程串联
可在流水线中与阈值、形态学、ROI、色彩空间转换等模块组合；注意分辨率、帧率与内存占用之间的折中。","## 举例（场景化）
将风景照旋转 15° 观察裁切与插值。","## 用法（OpenCV + Python）
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
(h,w)=img.shape[:2]
M=cv2.getRotationMatrix2D((w/2,h/2),15,1)
out=cv2.warpAffine(img,M,(w,h))",
img_rotate,en,Rotate,"## Algorithm name
Rotate (`img_rotate`)

## Principle
Affine transform: rotate by θ around the center using a 2×3 matrix M and warpAffine.

[Math & algorithm notes]
Affine map x'=R x + t; rotation R(θ) is orthogonal with det=1. Interpolation picks resampling kernel.

## Math & implementation notes
Discrete OpenCV operators act per-pixel or in local neighborhoods; mind BGR order, dtype (uint8 vs float), and border handling. For gradients, prefer intermediate CV_16S/CV_32F then convertScaleAbs for display.","## Function & pipeline notes
Correct orientation or build augmented samples.
(Interpret operator behavior via its mathematical structure.)

Combine with thresholding, morphology, or ROI masks as needed.","## Example scenarios
Rotate a landscape photo by 15° and observe crop and interpolation.","## Usage (OpenCV + Python)
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
(h,w)=img.shape[:2]
M=cv2.getRotationMatrix2D((w/2,h/2),15,1)
out=cv2.warpAffine(img,M,(w,h))",
img_scale,zh,缩放,"## 算法名称
缩放（内部标识 `img_scale`）

## 原理（教材级叙述）
重采样改变分辨率：最近邻、双线性、双三次等。

## 离散实现与数学扩展
【几何变换】
旋转/缩放属于仿射或相似变换子集；warpAffine 用双线性/双三次插值近似重采样，频域上相当于与 sinc 核近似卷积，故缩小再放大会损失高频。

【仿射自由度】
平面仿射 6 自由度，三对非共线对应点唯一确定矩阵；透视需单应性 8 自由度（本演示以仿射为主）。

## 与算法 id 关联的要点
仿射变换 x'=R x + t；旋转矩阵 R(θ)=[[cosθ,-sinθ],[sinθ,cosθ]]。双线性/双三次重采样对应不同插值核。","## 算法功能
统一尺寸、金字塔多尺度分析。

## 工程串联
可在流水线中与阈值、形态学、ROI、色彩空间转换等模块组合；注意分辨率、帧率与内存占用之间的折中。","## 举例（场景化）
将图缩小到一半再放大，观察细节损失。","## 用法（OpenCV + Python）
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
out=cv2.resize(img,None,fx=0.5,fy=0.5,interpolation=cv2.INTER_LINEAR)",
img_scale,en,Scale,"## Algorithm name
Scale (`img_scale`)

## Principle
Resampling changes resolution: nearest, bilinear, bicubic, etc.

[Math & algorithm notes]
Affine map x'=R x + t; rotation R(θ) is orthogonal with det=1. Interpolation picks resampling kernel.

## Math & implementation notes
Discrete OpenCV operators act per-pixel or in local neighborhoods; mind BGR order, dtype (uint8 vs float), and border handling. For gradients, prefer intermediate CV_16S/CV_32F then convertScaleAbs for display.","## Function & pipeline notes
Unify size; multi-scale pyramids.
(Interpret operator behavior via its mathematical structure.)

Combine with thresholding, morphology, or ROI masks as needed.","## Example scenarios
Shrink to half then enlarge and observe detail loss.","## Usage (OpenCV + Python)
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
out=cv2.resize(img,None,fx=0.5,fy=0.5,interpolation=cv2.INTER_LINEAR)",
img_flip_h,zh,水平反转,"## 算法名称
水平反转（内部标识 `img_flip_h`）

## 原理（教材级叙述）
沿竖直中轴镜像，索引映射 i' = W-1-i。

## 离散实现与数学扩展
【几何变换】
旋转/缩放属于仿射或相似变换子集；warpAffine 用双线性/双三次插值近似重采样，频域上相当于与 sinc 核近似卷积，故缩小再放大会损失高频。

【仿射自由度】
平面仿射 6 自由度，三对非共线对应点唯一确定矩阵；透视需单应性 8 自由度（本演示以仿射为主）。

## 与算法 id 关联的要点
本算子对应 OpenCV 离散实现；一般形式可写为像素级映射 I'=F(I;θ)，θ 为参数向量。结合背面示例代码与官方文档理解数值稳定性与边界处理。","## 算法功能
镜像数据、对称物体。

## 工程串联
可在流水线中与阈值、形态学、ROI、色彩空间转换等模块组合；注意分辨率、帧率与内存占用之间的折中。","## 举例（场景化）
人脸左右翻转。","## 用法（OpenCV + Python）
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
out=cv2.flip(img,1)",
img_flip_h,en,Flip horizontal,"## Algorithm name
Flip horizontal (`img_flip_h`)

## Principle
Mirror about the vertical mid-axis: index map i' = W-1-i.

[Math & algorithm notes]
This operator is the OpenCV discrete realization; think of pixel-wise maps I'=F(I;θ) and read the API docs for stability.

## Math & implementation notes
Discrete OpenCV operators act per-pixel or in local neighborhoods; mind BGR order, dtype (uint8 vs float), and border handling. For gradients, prefer intermediate CV_16S/CV_32F then convertScaleAbs for display.","## Function & pipeline notes
Mirror data; symmetric objects.
(Interpret operator behavior via its mathematical structure.)

Combine with thresholding, morphology, or ROI masks as needed.","## Example scenarios
Flip a face left–right.","## Usage (OpenCV + Python)
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
out=cv2.flip(img,1)",
img_flip_v,zh,垂直反转,"## 算法名称
垂直反转（内部标识 `img_flip_v`）

## 原理（教材级叙述）
沿水平中轴镜像。

## 离散实现与数学扩展
【几何变换】
旋转/缩放属于仿射或相似变换子集；warpAffine 用双线性/双三次插值近似重采样，频域上相当于与 sinc 核近似卷积，故缩小再放大会损失高频。

【仿射自由度】
平面仿射 6 自由度，三对非共线对应点唯一确定矩阵；透视需单应性 8 自由度（本演示以仿射为主）。

## 与算法 id 关联的要点
本算子对应 OpenCV 离散实现；一般形式可写为像素级映射 I'=F(I;θ)，θ 为参数向量。结合背面示例代码与官方文档理解数值稳定性与边界处理。","## 算法功能
修正倒置图像。

## 工程串联
可在流水线中与阈值、形态学、ROI、色彩空间转换等模块组合；注意分辨率、帧率与内存占用之间的折中。","## 举例（场景化）
将图像上下颠倒。","## 用法（OpenCV + Python）
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
out=cv2.flip(img,0)",
img_flip_v,en,Flip vertical,"## Algorithm name
Flip vertical (`img_flip_v`)

## Principle
Mirror about the horizontal mid-axis.

[Math & algorithm notes]
This operator is the OpenCV discrete realization; think of pixel-wise maps I'=F(I;θ) and read the API docs for stability.

## Math & implementation notes
Discrete OpenCV operators act per-pixel or in local neighborhoods; mind BGR order, dtype (uint8 vs float), and border handling. For gradients, prefer intermediate CV_16S/CV_32F then convertScaleAbs for display.","## Function & pipeline notes
Fix upside-down images.
(Interpret operator behavior via its mathematical structure.)

Combine with thresholding, morphology, or ROI masks as needed.","## Example scenarios
Flip an image vertically.","## Usage (OpenCV + Python)
import cv2
import numpy as np
img = cv2.imread('input.png')
if img is None:
    raise SystemExit('请将 input.png 换为本地存在的图像路径')
out=cv2.flip(img,0)",
